price,month,id,type,area,rooms,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,area2,end_0,end_1,end_2,end_3,end_4,end_5,end_6,end_7,end_8,end_9
77439.62743141319,6,1,studio,80.31171424913582,3,4.75533886083969,2.906611022652935,1.7074561133753945,1.5224822148151758,1.2283648281939201,13.13695721339051,1.5339436468534493,cooperative,concrete,0,1,0,1,0,6449.971445634846,1,0,0,0,0,0,0,0,0,0
122347.84443445173,11,2,apartment,51.95641631293471,4,0.9792816641461801,0.9631662970677721,2.03382521420775,2.626074205985844,1.2061100725869034,7.349199992882125,1.4540267382986223,cooperative,brick,0,1,0,0,0,2699.4691960829878,0,1,0,0,0,0,0,0,0,0
148071.81235402386,3,3,flat,138.9294794807151,5,0.22456135737967198,7.596593412511882,2.797407604824027,1.0025092264908797,1.103093607120518,5.6245111852541205,0.5133306026852847,freehold,concrete,0,1,0,0,1,19301.400268782436,0,0,0,0,0,0,0,0,1,0
71308.35264977747,8,4,apartment,63.602885754525104,1,0.2931067229229107,3.958682373036651,2.0931021739892515,2.2780404945234847,1.0135442996638553,10.801732112148562,2.419311832874504,cooperative,brick,0,1,1,0,0,4045.3270763031724,0,0,0,1,0,0,0,0,0,0
169277.77391357426,3,5,flat,143.7943218893384,4,2.978811149191218,4.071991315098576,1.0293047980868075,3.1684891933643473,0.26942390665412863,5.060285895537101,1.1633545172171793,freehold,concrete,1,1,0,0,1,20676.80700761466,0,0,0,1,0,0,0,0,0,0
96139.74253282935,12,6,apartment,89.29718771231245,5,0.40204522884043536,5.007481142373039,0.6763363252234545,3.4814232352290673,0.2941101444218217,2.231346867661837,2.3096195479651436,freehold,brick,0,1,0,0,0,7973.9877333279655,0,0,0,0,0,0,0,0,0,1
144860.05142413374,2,7,flat,102.10076922790084,4,4.796873473438026,0.1279393272554744,2.578444999774099,0.509964606424347,1.8143349838371845,4.997207078372132,0.6569815837384161,rental,wood,0,0,1,0,1,10424.567076929063,0,0,1,0,0,0,0,0,0,0
96327.77301399248,3,8,flat,90.5822577836126,3,0.795472732721053,7.455936286993908,0.6635632154939056,1.4898606135436574,1.2973542343302775,6.7972917406994275,1.0137130386801136,rental,concrete,0,1,0,0,1,8205.145425176846,1,0,0,0,0,0,0,0,0,0
50000.0,11,9,apartment,36.81948020567111,2,1.5931417496595954,2.9554635697188796,0.5686677837265554,2.594613323549894,0.598402707546212,4.203464951749268,0.3759957483377311,freehold,brick,0,0,0,0,0,1355.674122615807,0,0,0,0,0,0,1,0,0,0
116826.22145130631,6,10,flat,68.85675847103232,1,4.130337229791907,3.2357617128363545,0.6991750339748298,0.23541918556524363,0.6306707395055668,3.6437990246469827,0.5160898822622638,rental,brick,1,1,1,1,0,4741.253187138082,0,0,0,0,0,0,0,0,1,0
58368.20761004765,2,11,apartment,32.88899459609111,3,1.1718275832100562,1.4754630555125565,1.5756384595784698,2.7933992805882255,1.259370180132397,0.5890323586381173,2.6612321220229256,cooperative,concrete,1,1,0,0,0,1081.6859655417102,0,0,1,0,0,0,0,0,0,0
109541.79348360488,8,12,flat,100.98402574383962,3,1.2905454464273962,3.0873977450104424,0.4601435851624248,2.1593321429349257,0.8731764518077579,9.647220330358676,0.41642666813817486,freehold,wood,0,0,1,0,1,10197.773455432463,1,0,0,0,0,0,0,0,0,0
65593.49125051724,1,13,flat,78.09364537605705,5,3.2473138833759894,6.451153893130812,2.8205431587304366,1.2254084889581032,0.9385159248716797,9.409509663583725,0.3776205011292353,freehold,concrete,0,1,0,0,0,6098.6174481213575,0,0,0,0,0,0,0,0,1,0
